web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,Price,No_bd,No_ba,Sqft,Address,Zestimate,Est_pmt,Townhouse,Year_built,Price_sqft
"1641259426-194","https://www.zillow.com/homes/Springfield,-VA_rb/","","https://www.zillow.com/homedetails/8092-Whitlers-Creek-Ct-Springfield-VA-22152/51941461_zpid/","$565,000","3","4","1,750","8092 Whitlers Creek Ct, Springfield, VA 22152","$560,100","$2,676/mo","Townhouse","Built in 1986","$323 price/sqft"
"1641259475-197","https://www.zillow.com/homes/Springfield,-VA_rb/","","https://www.zillow.com/homedetails/6430-Franconia-Rd-Springfield-VA-22150/51916353_zpid/","$999,989","5","4","5,437","6430 Franconia Rd, Springfield, VA 22150","$982,900","$4,517/mo","Single family residence","Forced air, electric","null"
"1641259490-198","https://www.zillow.com/homes/Springfield,-VA_rb/","","https://www.zillow.com/homedetails/6006-Hibbling-Ave-Springfield-VA-22150/51913555_zpid/","$900,000","6","6","4,400","6006 Hibbling Ave, Springfield, VA 22150","$914,300","$4,066/mo","Single family residence","Built in 2007","null"
"1641259411-193","https://www.zillow.com/homes/Springfield,-VA_rb/","","https://www.zillow.com/homedetails/8005-Log-Cabin-Ct-Springfield-VA-22153/51969822_zpid/","$700,000","6","3","2,439","8005 Log Cabin Ct, Springfield, VA 22153","$687,200","$3,169/mo","Single family residence","Built in 1971","$287 price/sqft"
"1641259459-196","https://www.zillow.com/homes/Springfield,-VA_rb/","","https://www.zillow.com/homedetails/8527-Kentford-Dr-Springfield-VA-22152/51936371_zpid/","$785,000","5","3","1,680","8527 Kentford Dr, Springfield, VA 22152","$798,100","$3,546/mo","Single family residence","Built in 1968","null"
"1641259508-199","https://www.zillow.com/homes/Springfield,-VA_rb/","","https://www.zillow.com/homedetails/8801-Law-Ct-Springfield-VA-22152/51931501_zpid/","$875,000","4","3","2,791","8801 Law Ct, Springfield, VA 22152","$875,000","$3,953/mo","Single family residence","Built in 1967","null"
"1641259446-195","https://www.zillow.com/homes/Springfield,-VA_rb/","","https://www.zillow.com/homedetails/7508-Mendota-Pl-Springfield-VA-22150/51913204_zpid/","$520,000","4","2","1,424","7508 Mendota Pl, Springfield, VA 22150","$621,300","$2,366/mo","Single family residence","Built in 1955","null"
"1641259370-191","https://www.zillow.com/homes/Springfield,-VA_rb/","","https://www.zillow.com/homedetails/6600-Huntsman-Blvd-Springfield-VA-22152/51935855_zpid/","$674,900","4","3","2,064","6600 Huntsman Blvd, Springfield, VA 22152","null","$3,049/mo","Single family residence","Built in 1966","null"
"1641259390-192","https://www.zillow.com/homes/Springfield,-VA_rb/","","https://www.zillow.com/homedetails/6517-Field-Master-Dr-Springfield-VA-22152/51932610_zpid/","$509,900","3","4","1,300","6517 Field Master Dr, Springfield, VA 22152","$486,900","$2,428/mo","Townhouse","Built in 1981","$392 price/sqft"
